emp_id,name,email,department,status
1409,Aryan Maharaj,udantdewan@chaudry.com,Finance,Active
4657,Girik Kamdar,yashasvibala@issac.info,Marketing,Active
9935,Abeer Dutta,roak@kale.com,Engineering,Active
1520,Lajita Chatterjee,hemangini94@sharaf.com,Engineering,Active
4811,Farhan Memon,rehaan10@kari.com,HR,Active
4257,Lajita Mall,kpatla@pant-kadakia.com,Finance,Active
9928,Onveer Walla,nihalshere@madan-kanda.com,Design,Active
5557,Veer Balay,nandini41@murty.info,Engineering,Active
3615,Tara Dhar,liam38@lall.com,Finance,Active
5552,Lakshit Upadhyay,wchand@choudhary.com,Marketing,Active
6514,Devansh Rajan,hsidhu@apte-contractor.net,Engineering,Active
2584,Harini Choudhury,radhika27@lall.com,Sales,Active
5333,Chanchal Tripathi,michaelprakash@zacharia.com,Engineering,Active
9785,Vrinda Bahl,patildamyanti@bhardwaj.org,Engineering,Active
7201,Frederick Sunder,waliajeremiah@soman.com,Engineering,Active
6925,Pallavi Kakar,devikarastogi@prakash.info,HR,Active
2139,Yug Kar,nigamansh@karpe.com,Engineering,Active
5741,Veer Bir,narayananekavir@khanna.com,Engineering,Active
2654,Urvashi Kibe,mray@chatterjee.biz,Design,Active
6977,Pallavi Roy,rbhagat@chaudhari.com,Marketing,Active
4432,Yuvraj Handa,saumyadey@goswami-mallick.info,Finance,Active
2169,Faqid Savant,bedialexander@khalsa.biz,HR,Active
9751,Vasana Kala,kbhargava@agate-ramakrishnan.com,Finance,Active
8573,Bhavika Sampath,mdubey@kalla-bhardwaj.org,Design,Active
4598,Dipta Bhandari,soodyadavi@dugar.com,Finance,Active
1916,Ekapad Bir,netradar@koshy.biz,Marketing,Active
6168,Advika Jayaraman,william46@mital.com,Design,Active
4456,Aditya Shanker,borahtanay@lanka.com,HR,Active
6155,Kala Mane,rakshamittal@wadhwa.com,Marketing,Active
7482,Aishani D’Alia,dugalanita@kade-oza.com,Finance,Active
5339,Yashasvi Suresh,charan16@basu-aggarwal.com,Marketing,Active
9830,Adweta Edwin,jsane@choudhury.com,Sales,Active
8019,Kala Divan,cdatta@patla-baral.com,HR,Active
4593,Zaid Chauhan,niharika92@gaba.biz,Marketing,Active
2489,Praneel Natarajan,rkothari@chokshi.com,Engineering,Active
3504,Tristan Iyengar,tpalla@kapoor.com,Finance,Active
7916,Falguni Mallick,mallickindali@upadhyay.com,HR,Active
7252,Jack Lal,alkabarad@saraf.com,HR,Terminated
9669,Yasti D’Alia,qgupta@sarin.net,Sales,Active
1188,Januja Sankar,narayanandipta@dash.com,Finance,Active
9797,Eta Rau,joshua36@raghavan.biz,Sales,Active
6573,Daksha Mangat,qushinagy@sathe-sathe.com,Engineering,Active
3591,Omkaar Chad,yutika95@keer.com,Design,Active
5315,Rushil Din,batrayash@bora-shah.biz,HR,Terminated
9317,Leena Talwar,jkohli@ahluwalia.com,Engineering,Active
5889,Zarna Shetty,krishjairaj@deol-shetty.net,Finance,Active
4258,Saanvi Thaman,ksehgal@soman.com,Marketing,Active
3646,Vedhika Khare,ria14@magar.com,HR,Active
9689,Lakshit Dora,leeladua@kala.biz,Engineering,Active
9005,Unnati Sagar,jhaveriosha@bahri-rai.info,Engineering,Active
6947,Indira Misra,isaini@kannan.com,Sales,Active
4946,Vedika Balakrishnan,qnayar@ravel.com,HR,Active
2403,Meera Bala,sanghakrishna@gopal-bedi.com,Finance,Active
2133,Falak Kakar,vnarain@mall-sama.com,HR,Active
3103,Upma Bahl,pallaudarsh@biswas.com,Finance,Active
3705,Anmol Dua,jonathansolanki@contractor.com,Sales,Active
7932,Oliver Contractor,deepachokshi@bal.biz,Marketing,Active
4295,Faqid Kibe,mitrajai@barman.biz,Finance,Active
7118,Ekapad Toor,advik67@sant.info,Design,Active
8397,Radhika Goda,veda76@loyal.com,Engineering,Active
2049,Shravya Kohli,vraghavan@talwar.com,Sales,Active
4770,Simon Pant,harini49@majumdar.com,HR,Terminated
2163,Wyatt Ray,skhosla@swaminathan-sem.com,Finance,Active
4750,Chaitaly Kant,tkohli@pillay.com,Engineering,Active
6413,Ganga Pandey,tmadan@kashyap-dara.com,Engineering,Active
5562,Jagdish Wason,rehaankalita@sule.org,Finance,Active
9834,Harish Hari,utkarsh52@atwal-walla.com,Marketing,Active
8744,Chakradev Bhagat,jonathan71@mane.info,Marketing,Active
7669,Harini Gour,krishnanvanya@bhattacharyya.info,Marketing,Active
8062,Chatresh Doshi,dakshachada@dani.biz,Sales,Active
8651,Lajita Seshadri,lmishra@mody-bhasin.org,Finance,Active
2612,Sarthak Kakar,finn23@borde.com,Engineering,Terminated
6559,Shravya Singhal,bachittar34@mandal.com,Engineering,Active
4116,Rudra Sandal,karmanthan@dhar-bora.com,HR,Active
7912,Damyanti Mani,ddash@modi.net,Marketing,Active
